region,city,country,utility_primary,heating_degree_days,heat_pump_rebate,heat_pump_system_size,heat_pump_cost,heat_pump_annual_savings,heat_pump_payback_years,solar_rebate,solar_kw,solar_cost,solar_annual_savings,solar_payback_years,battery_rebate,battery_kwh,battery_cost,water_heater_rebate,insulation_rebate,windows_rebate,ev_charger_rebate,thermostat_rebate,notes,source_utility,source_state,source_city,verified_date
bc,Abbotsford,CA,BC Hydro,4200,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Abbotsford,2026-08-17
bc,Burnaby,CA,BC Hydro,3600,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Burnaby,2026-08-17
bc,Chilliwack,CA,BC Hydro,4300,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Chilliwack,2026-08-17
bc,Coquitlam,CA,BC Hydro,4000,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Coquitlam,2026-08-17
bc,Fort St John,CA,BC Hydro,6200,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Fort St John,2026-08-17
bc,Kamloops,CA,BC Hydro,4400,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Kamloops,2026-08-17
bc,Kelowna,CA,BC Hydro,4500,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Kelowna,2026-08-17
bc,Langley,CA,BC Hydro,4000,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Langley,2026-08-17
bc,Maple Ridge,CA,BC Hydro,4100,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Maple Ridge,2026-08-17
bc,Nanaimo,CA,BC Hydro,3400,"$4,000-$16,000",3-4 ton,"$12,000-$18,000","$800-$1,200",11-15,"$1,000-$5,000",4-6 kW,"$18,000-$22,000","$800-$1,200",10-15,"$1,500-$5,000",10-15 kWh,"$10,000-$15,000","$1,000","$1,000-$5,000","$500-$2,000","$350-$1,050",Free,Data sourced from official BC utility programs and government rebate resources. Income qualification varies by program.,BC Hydro,BC,Nanaimo,2026-08-17
